"","Date","State.UnionTerritory","ConfirmedIndianNational","ConfirmedForeignNational","Cured","Deaths","Confirmed"
"4166","23-08-2020","Andaman and Nicobar Islands","2808","0","1853","32",2808
"5166","23-08-2020","Arunachal Pradesh","3223","0","2228","5",3223
"6166","23-08-2020","Assam","89468","0","67641","234",89468
"7166","23-08-2020","Bihar","119529","0","94858","503",119529
"8166","23-08-2020","Chandigarh","2776","0","1471","33",2776
"9166","23-08-2020","Chhattisgarh","20078","0","12394","189",20078
"10166","23-08-2020","Dadra and Nagar Haveli","2120","0","1702","2",2120
"11166","23-08-2020","Delhi","160016","0","144138","4284",160016
"12166","23-08-2020","Goa","13790","0","10019","140",13790
"13166","23-08-2020","Gujarat","85523","0","68243","2881",85523
"14166","23-08-2020","Haryana","53290","0","44013","597",53290
"15166","23-08-2020","Himachal Pradesh","4895","0","3341","29",4895
"16166","23-08-2020","Jammu and Kashmir","31981","0","24398","608",31981
"17166","23-08-2020","Jharkhand","28571","0","18507","308",28571
"18166","23-08-2020","Karnataka","271876","0","184568","4615",271876
"19166","23-08-2020","Kerala","56354","0","36535","218",56354
"20166","23-08-2020","Lakshadweep","0","0","0","0",0
"21166","23-08-2020","Ladakh","2210","0","1469","21",2210
"22166","23-08-2020","Madhya Pradesh","51866","0","39399","1206",51866
"23166","23-08-2020","Maharashtra","671942","0","480114","21995",671942
"24166","23-08-2020","Manipur","5132","0","3455","22",5132
"25166","23-08-2020","Meghalaya","1811","0","769","7",1811
"26166","23-08-2020","Mizoram","917","0","423","0",917
"27166","23-08-2020","Nagaland","3635","0","2166","9",3635
"28166","23-08-2020","Odisha","75537","0","52277","399",75537
"29166","23-08-2020","Puducherry","10112","0","6307","151",10112
"30166","23-08-2020","Punjab","40643","0","24302","1036",40643
"31201","23-08-2020","Rajasthan","69264","0","54144","944",69264
"32179","23-08-2020","Sikkim","1381","0","871","3",1381
"33167","23-08-2020","Tamil Nadu","373410","0","313280","6420",373410
"34166","23-08-2020","Telengana","104249","0","80586","755",104249
"35166","23-08-2020","Tripura","8702","0","6182","72",8702
"36166","23-08-2020","Uttarakhand","14566","0","10021","195",14566
"37166","23-08-2020","Uttar Pradesh","182453","0","131295","2867",182453
"38166","23-08-2020","West Bengal","135596","0","104959","2737",135596
"3918","24-08-2020","Andhra Pradesh","353111","0","260087","3282",353111
"4167","24-08-2020","Andaman and Nicobar Islands","2860","0","1963","33",2860
"5167","24-08-2020","Arunachal Pradesh","3263","0","2297","5",3263
"6167","24-08-2020","Assam","90740","0","70900","242",90740
"7167","24-08-2020","Bihar","121947","0","98325","511",121947
"8167","24-08-2020","Chandigarh","2918","0","1492","37",2918
"9167","24-08-2020","Chhattisgarh","20918","0","12931","197",20918
"10167","24-08-2020","Dadra and Nagar Haveli","2161","0","1753","2",2161
"11167","24-08-2020","Delhi","161466","0","145388","4300",161466
"12167","24-08-2020","Goa","13999","0","10472","144",13999
"13167","24-08-2020","Gujarat","86624","0","69212","2895",86624
"14167","24-08-2020","Haryana","54386","0","44822","603",54386
"15167","24-08-2020","Himachal Pradesh","5001","0","3461","29",5001
"16167","24-08-2020","Jammu and Kashmir","32647","0","24832","617",32647
"17167","24-08-2020","Jharkhand","29677","0","19629","312",29677
"18167","24-08-2020","Karnataka","277814","0","189564","4683",277814
"19167","24-08-2020","Kerala","58262","0","37645","223",58262
"20167","24-08-2020","Lakshadweep","0","0","0","0",0
"21167","24-08-2020","Ladakh","2279","0","1491","23",2279
"22167","24-08-2020","Madhya Pradesh","53129","0","40390","1229",53129
"23167","24-08-2020","Maharashtra","682383","0","488271","22253",682383
"24167","24-08-2020","Manipur","5246","0","3616","22",5246
"25167","24-08-2020","Meghalaya","1917","0","776","8",1917
"26167","24-08-2020","Mizoram","918","0","459","0",918
"27167","24-08-2020","Nagaland","3686","0","2294","9",3686
"28167","24-08-2020","Odisha","78530","0","54406","409",78530
"29167","24-08-2020","Puducherry","10522","0","6657","159",10522
"30167","24-08-2020","Punjab","41779","0","26528","1086",41779
"31202","24-08-2020","Rajasthan","70609","0","55324","955",70609
"32180","24-08-2020","Sikkim","1403","0","871","3",1403
"33168","24-08-2020","Tamil Nadu","379385","0","319327","6517",379385
"34167","24-08-2020","Telengana","106091","0","82411","761",106091
"35167","24-08-2020","Tripura","8902","0","6341","73",8902
"36167","24-08-2020","Uttarakhand","15124","0","10480","200",15124
"37167","24-08-2020","Uttar Pradesh","187781","0","135613","2926",187781
"38167","24-08-2020","West Bengal","138870","0","108007","2794",138870
"3919","25-08-2020","Andhra Pradesh","361712","0","268828","3368",361712
"4168","25-08-2020","Andaman and Nicobar Islands","2904","0","2092","35",2904
"5168","25-08-2020","Arunachal Pradesh","3312","0","2427","5",3312
"6168","25-08-2020","Assam","92619","0","73090","252",92619
"7168","25-08-2020","Bihar","123198","0","101292","514",123198
"8168","25-08-2020","Chandigarh","3035","0","1646","37",3035
"9168","25-08-2020","Chhattisgarh","22054","0","13424","206",22054
"10168","25-08-2020","Dadra and Nagar Haveli","2181","0","1786","2",2181
"11168","25-08-2020","Delhi","162527","0","146588","4313",162527
"12168","25-08-2020","Goa","14138","0","10909","148",14138
"13168","25-08-2020","Gujarat","87691","0","70231","2908",87691
"14168","25-08-2020","Haryana","55460","0","45405","613",55460
"15168","25-08-2020","Himachal Pradesh","5101","0","3584","29",5101
"16168","25-08-2020","Jammu and Kashmir","33075","0","25205","624",33075
"17168","25-08-2020","Jharkhand","31005","0","20870","330",31005
"18168","25-08-2020","Karnataka","283665","0","197625","4810",283665
"19168","25-08-2020","Kerala","59504","0","38883","234",59504
"20168","25-08-2020","Lakshadweep","0","0","0","0",0
"21168","25-08-2020","Ladakh","2330","0","1517","23",2330
"22168","25-08-2020","Madhya Pradesh","54421","0","41231","1246",54421
"23168","25-08-2020","Maharashtra","693398","0","502490","22465",693398
"24168","25-08-2020","Manipur","5362","0","3714","22",5362
"25168","25-08-2020","Meghalaya","1976","0","789","8",1976
"26168","25-08-2020","Mizoram","953","0","461","0",953
"27168","25-08-2020","Nagaland","3714","0","2396","9",3714
"28168","25-08-2020","Odisha","81479","0","56925","419",81479
"29168","25-08-2020","Puducherry","10859","0","6942","164",10859
"30168","25-08-2020","Punjab","43284","0","28357","1129",43284
"31203","25-08-2020","Rajasthan","71955","0","56600","967",71955
"32181","25-08-2020","Sikkim","1446","0","934","3",1446
"33169","25-08-2020","Tamil Nadu","385352","0","325456","6614",385352
"34168","25-08-2020","Telengana","108670","0","84163","770",108670
"35168","25-08-2020","Tripura","9195","0","6414","78",9195
"36168","25-08-2020","Uttarakhand","15529","0","10912","207",15529
"37168","25-08-2020","Uttar Pradesh","192382","0","140107","2987",192382
"38168","25-08-2020","West Bengal","141837","0","111292","2851",141837
"3920","26-08-2020","Andhra Pradesh","371639","0","278247","3460",371639
"4169","26-08-2020","Andaman and Nicobar Islands","2945","0","2231","37",2945
"5169","26-08-2020","Arunachal Pradesh","3412","0","2508","5",3412
"6169","26-08-2020","Assam","94592","0","74814","260",94592
"7169","26-08-2020","Bihar","124536","0","104301","519",124536
"8169","26-08-2020","Chandigarh","3209","0","1713","40",3209
"9169","26-08-2020","Chhattisgarh","23341","0","13732","221",23341
"10169","26-08-2020","Dadra and Nagar Haveli","2203","0","1820","2",2203
"11169","26-08-2020","Delhi","164071","0","147743","4330",164071
"12169","26-08-2020","Goa","14530","0","11224","157",14530
"13169","26-08-2020","Gujarat","88805","0","71236","2928",88805
"14169","26-08-2020","Haryana","56608","0","46496","623",56608
"15169","26-08-2020","Himachal Pradesh","5154","0","3748","30",5154
"16169","26-08-2020","Jammu and Kashmir","33776","0","25594","638",33776
"17169","26-08-2020","Jharkhand","31973","0","21388","347",31973
"18169","26-08-2020","Karnataka","291826","0","204439","4958",291826
"19169","26-08-2020","Kerala","61879","0","40339","244",61879
"20169","26-08-2020","Lakshadweep","0","0","0","0",0
"21169","26-08-2020","Ladakh","2420","0","1549","24",2420
"22169","26-08-2020","Madhya Pradesh","55800","0","42310","1265",55800
"23169","26-08-2020","Maharashtra","703823","0","514790","22794",703823
"24169","26-08-2020","Manipur","5444","0","3812","24",5444
"25169","26-08-2020","Meghalaya","2018","0","832","8",2018
"26169","26-08-2020","Mizoram","967","0","464","0",967
"27169","26-08-2020","Nagaland","3752","0","2611","9",3752
"28169","26-08-2020","Odisha","84231","0","59470","428",84231
"29169","26-08-2020","Puducherry","11426","0","7273","172",11426
"30169","26-08-2020","Punjab","44577","0","29145","1178",44577
"31204","26-08-2020","Rajasthan","73325","0","58126","980",73325
"32182","26-08-2020","Sikkim","1475","0","1054","3",1475
"33170","26-08-2020","Tamil Nadu","391303","0","332454","6721",391303
"34169","26-08-2020","Telengana","111688","0","85223","780",111688
"35169","26-08-2020","Tripura","9523","0","6574","83",9523
"36169","26-08-2020","Uttarakhand","16014","0","11201","213",16014
"37169","26-08-2020","Uttar Pradesh","197388","0","144754","3059",197388
"38169","26-08-2020","West Bengal","144801","0","114543","2909",144801
"3921","27-08-2020","Andhra Pradesh","382469","0","286720","3541",382469
"4170","27-08-2020","Andaman and Nicobar Islands","2985","0","2309","41",2985
"5170","27-08-2020","Arunachal Pradesh","3555","0","2563","5",3555
"6170","27-08-2020","Assam","96771","0","76962","274",96771
"7170","27-08-2020","Bihar","126714","0","106361","530",126714
"8170","27-08-2020","Chandigarh","3376","0","1796","41",3376
"9170","27-08-2020","Chhattisgarh","24550","0","14145","231",24550
"10170","27-08-2020","Dadra and Nagar Haveli","2228","0","1862","2",2228
"11170","27-08-2020","Delhi","165764","0","148897","4347",165764
"12170","27-08-2020","Goa","15027","0","11511","165",15027
"13170","27-08-2020","Gujarat","89994","0","72282","2945",89994
"14170","27-08-2020","Haryana","58005","0","47613","634",58005
"15170","27-08-2020","Himachal Pradesh","5321","0","3810","32",5321
"16170","27-08-2020","Jammu and Kashmir","34480","0","26193","657",34480
"17170","27-08-2020","Jharkhand","33046","0","22349","362",33046
"18170","27-08-2020","Karnataka","300406","0","211688","5091",300406
"19170","27-08-2020","Kerala","64355","0","41690","257",64355
"20170","27-08-2020","Lakshadweep","0","0","0","0",0
"21170","27-08-2020","Ladakh","2451","0","1580","25",2451
"22170","27-08-2020","Madhya Pradesh","56864","0","43246","1282",56864
"23170","27-08-2020","Maharashtra","718711","0","522427","23089",718711
"24170","27-08-2020","Manipur","5585","0","3829","25",5585
"25170","27-08-2020","Meghalaya","2050","0","874","8",2050
"26170","27-08-2020","Mizoram","967","0","473","0",967
"27170","27-08-2020","Nagaland","3778","0","2611","9",3778
"28170","27-08-2020","Odisha","87602","0","62813","441",87602
"29170","27-08-2020","Puducherry","11930","0","7486","180",11930
"30170","27-08-2020","Punjab","46090","0","30231","1219",46090
"31205","27-08-2020","Rajasthan","74670","0","59579","992",74670
"32183","27-08-2020","Sikkim","1486","0","1076","3",1486
"33171","27-08-2020","Tamil Nadu","397261","0","338060","6839",397261
"34170","27-08-2020","Telengana","114483","0","86095","788",114483
"35170","27-08-2020","Tripura","9908","0","6697","85",9908
"36170","27-08-2020","Uttarakhand","16549","0","11524","219",16549
"37170","27-08-2020","Uttar Pradesh","203028","0","148562","3149",203028
"38170","27-08-2020","West Bengal","147775","0","117857","2964",147775
"3922","28-08-2020","Andhra Pradesh","393090","0","295248","3633",393090
"4171","28-08-2020","Andaman and Nicobar Islands","3018","0","2374","42",3018
"5171","28-08-2020","Arunachal Pradesh","3633","0","2621","5",3633
"6171","28-08-2020","Assam","98807","0","79307","278",98807
"7171","28-08-2020","Bihar","128780","0","109175","538",128780
"8171","28-08-2020","Chandigarh","3564","0","1977","43",3564
"9171","28-08-2020","Chhattisgarh","25988","0","14607","245",25988
"10171","28-08-2020","Dadra and Nagar Haveli","2266","0","1916","2",2266
"11171","28-08-2020","Delhi","167604","0","150027","4369",167604
"12171","28-08-2020","Goa","15483","0","11867","171",15483
"13171","28-08-2020","Gujarat","91179","0","73475","2962",91179
"14171","28-08-2020","Haryana","59298","0","48690","646",59298
"15171","28-08-2020","Himachal Pradesh","5501","0","4008","33",5501
"16171","28-08-2020","Jammu and Kashmir","35135","0","26721","671",35135
"17171","28-08-2020","Jharkhand","34396","0","22927","373",34396
"18171","28-08-2020","Karnataka","309792","0","219554","5232",309792
"19171","28-08-2020","Kerala","66761","0","43757","267",66761
"20171","28-08-2020","Lakshadweep","0","0","0","0",0
"21171","28-08-2020","Ladakh","2492","0","1640","27",2492
"22171","28-08-2020","Madhya Pradesh","58181","0","44453","1306",58181
"23171","28-08-2020","Maharashtra","733568","0","531563","23444",733568
"24171","28-08-2020","Manipur","5725","0","3957","25",5725
"25171","28-08-2020","Meghalaya","2129","0","899","8",2129
"26171","28-08-2020","Mizoram","974","0","500","0",974
"27171","28-08-2020","Nagaland","3784","0","2735","9",3784
"28171","28-08-2020","Odisha","90986","0","65323","448",90986
"29171","28-08-2020","Puducherry","12434","0","7761","190",12434
"30171","28-08-2020","Punjab","47836","0","30972","1256",47836
"31206","28-08-2020","Rajasthan","76015","0","60585","1005",76015
"32184","28-08-2020","Sikkim","1542","0","1151","3",1542
"33172","28-08-2020","Tamil Nadu","403242","0","343930","6948",403242
"34171","28-08-2020","Telengana","117415","0","87675","799",117415
"35171","28-08-2020","Tripura","10414","0","6839","89",10414
"36171","28-08-2020","Uttarakhand","17277","0","11775","228",17277
"37171","28-08-2020","Uttar Pradesh","208419","0","152893","3217",208419
"38171","28-08-2020","West Bengal","150772","0","121046","3017",150772
"3923","29-08-2020","Andhra Pradesh","403616","0","303711","3714",403616
"4172","29-08-2020","Andaman and Nicobar Islands","3050","0","2444","42",3050
"5172","29-08-2020","Arunachal Pradesh","3745","0","2709","5",3745
"6172","29-08-2020","Assam","101367","0","81070","286",101367
"7172","29-08-2020","Bihar","131057","0","112452","558",131057
"8172","29-08-2020","Chandigarh","3724","0","2107","45",3724
"9172","29-08-2020","Chhattisgarh","27233","0","15109","251",27233
"10172","29-08-2020","Dadra and Nagar Haveli","2290","0","1960","2",2290
"11172","29-08-2020","Delhi","169412","0","151473","4389",169412
"12172","29-08-2020","Goa","16006","0","12296","175",16006
"13172","29-08-2020","Gujarat","92452","0","74525","2976",92452
"14172","29-08-2020","Haryana","60596","0","49710","661",60596
"15172","29-08-2020","Himachal Pradesh","5637","0","4149","33",5637
"16172","29-08-2020","Jammu and Kashmir","35831","0","27372","678",35831
"17172","29-08-2020","Jharkhand","35321","0","23850","381",35321
"18172","29-08-2020","Karnataka","318752","0","227018","5368",318752
"19172","29-08-2020","Kerala","69304","0","45854","274",69304
"20172","29-08-2020","Lakshadweep","0","0","0","0",0
"21172","29-08-2020","Ladakh","2540","0","1714","28",2540
"22172","29-08-2020","Madhya Pradesh","59433","0","45396","1323",59433
"23172","29-08-2020","Maharashtra","747995","0","543170","23775",747995
"24172","29-08-2020","Manipur","5843","0","4057","27",5843
"25172","29-08-2020","Meghalaya","2240","0","958","10",2240
"26172","29-08-2020","Mizoram","1003","0","509","0",1003
"27172","29-08-2020","Nagaland","3805","0","2850","9",3805
"28172","29-08-2020","Odisha","94668","0","67826","456",94668
"29172","29-08-2020","Puducherry","13024","0","8080","199",13024
"30172","29-08-2020","Punjab","49378","0","33008","1307",49378
"31207","29-08-2020","Rajasthan","77370","0","62033","1017",77370
"32185","29-08-2020","Sikkim","1576","0","1184","3",1576
"33173","29-08-2020","Tamil Nadu","409238","0","349682","7050",409238
"34172","29-08-2020","Telengana","120166","0","89350","808",120166
"35172","29-08-2020","Tripura","10857","0","7037","94",10857
"36172","29-08-2020","Uttarakhand","17865","0","12124","239",17865
"37172","29-08-2020","Uttar Pradesh","213824","0","157879","3294",213824
"38172","29-08-2020","West Bengal","153754","0","124332","3073",153754
"3924","30-08-2020","Andhra Pradesh","414164","0","312687","3796",414164
"4173","30-08-2020","Andaman and Nicobar Islands","3081","0","2519","44",3081
"5173","30-08-2020","Arunachal Pradesh","3877","0","2754","5",3877
"6173","30-08-2020","Assam","103794","0","82510","289",103794
"7173","30-08-2020","Bihar","133003","0","114772","561",133003
"8173","30-08-2020","Chandigarh","3985","0","2248","45",3985
"9173","30-08-2020","Chhattisgarh","28746","0","15818","262",28746
"10173","30-08-2020","Dadra and Nagar Haveli","2306","0","1998","2",2306
"11173","30-08-2020","Delhi","171366","0","152922","4404",171366
"12173","30-08-2020","Goa","16553","0","12729","178",16553
"13173","30-08-2020","Gujarat","93734","0","75636","2989",93734
"14173","30-08-2020","Haryana","61987","0","50711","670",61987
"15173","30-08-2020","Himachal Pradesh","5781","0","4308","34",5781
"16173","30-08-2020","Jammu and Kashmir","36377","0","28020","685",36377
"17173","30-08-2020","Jharkhand","36857","0","25103","397",36857
"18173","30-08-2020","Karnataka","327076","0","235128","5483",327076
"19173","30-08-2020","Kerala","71701","0","48079","280",71701
"20173","30-08-2020","Lakshadweep","0","0","0","0",0
"21173","30-08-2020","Ladakh","2603","0","1745","32",2603
"22173","30-08-2020","Madhya Pradesh","60875","0","46413","1345",60875
"23173","30-08-2020","Maharashtra","764281","0","554711","24103",764281
"24173","30-08-2020","Manipur","5960","0","4186","28",5960
"25173","30-08-2020","Meghalaya","2283","0","1035","10",2283
"26173","30-08-2020","Mizoram","1008","0","584","0",1008
"27173","30-08-2020","Nagaland","3851","0","2917","9",3851
"28173","30-08-2020","Odisha","97920","0","70714","470",97920
"29173","30-08-2020","Puducherry","13556","0","8511","211",13556
"30173","30-08-2020","Punjab","50848","0","34091","1348",50848
"31208","30-08-2020","Rajasthan","78777","0","62971","1030",78777
"32186","30-08-2020","Sikkim","1602","0","1195","3",1602
"33174","30-08-2020","Tamil Nadu","415590","0","355727","7137",415590
"34173","30-08-2020","Telengana","123090","0","90988","818",123090
"35173","30-08-2020","Tripura","11307","0","7232","98",11307
"36173","30-08-2020","Uttarakhand","18571","0","12586","250",18571
"37173","30-08-2020","Uttar Pradesh","219457","0","162741","3356",219457
"38173","30-08-2020","West Bengal","156766","0","127644","3126",156766
"3925","31-08-2020","Andhra Pradesh","424767","0","321754","3884",424767
"4174","31-08-2020","Andaman and Nicobar Islands","3104","0","2586","45",3104
"5174","31-08-2020","Arunachal Pradesh","4034","0","2822","7",4034
"6174","31-08-2020","Assam","105774","0","83927","296",105774
"7174","31-08-2020","Bihar","135035","0","117124","578",135035
"8174","31-08-2020","Chandigarh","4155","0","2296","52",4155
"9174","31-08-2020","Chhattisgarh","30092","0","16303","269",30092
"10174","31-08-2020","Dadra and Nagar Haveli","2340","0","2042","2",2340
"11174","31-08-2020","Delhi","173390","0","154171","4426",173390
"12174","31-08-2020","Goa","17004","0","13186","183",17004
"13174","31-08-2020","Gujarat","95009","0","76731","3006",95009
"14174","31-08-2020","Haryana","63282","0","51620","682",63282
"15174","31-08-2020","Himachal Pradesh","5945","0","4450","35",5945
"16174","31-08-2020","Jammu and Kashmir","37163","0","28510","694",37163
"17174","31-08-2020","Jharkhand","38435","0","26448","410",38435
"18174","31-08-2020","Karnataka","335928","0","242229","5589",335928
"19174","31-08-2020","Kerala","73855","0","49849","287",73855
"20174","31-08-2020","Lakshadweep","0","0","0","0",0
"21174","31-08-2020","Ladakh","2638","0","1757","34",2638
"22174","31-08-2020","Madhya Pradesh","62433","0","47467","1374",62433
"23174","31-08-2020","Maharashtra","780689","0","562401","24399",780689
"24174","31-08-2020","Manipur","6112","0","4239","28",6112
"25174","31-08-2020","Meghalaya","2343","0","1049","10",2343
"26174","31-08-2020","Mizoram","1011","0","589","0",1011
"27174","31-08-2020","Nagaland","3922","0","3026","9",3922
"28174","31-08-2020","Odisha","100934","0","73233","482",100934
"29174","31-08-2020","Puducherry","14127","0","8968","221",14127
"30174","31-08-2020","Punjab","52526","0","35747","1404",52526
"31209","31-08-2020","Rajasthan","80227","0","65093","1043",80227
"32187","31-08-2020","Sikkim","1627","0","1220","3",1627
"33175","31-08-2020","Tamil Nadu","422085","0","362133","7231",422085
"34174","31-08-2020","Telengana","124963","0","92837","827",124963
"35174","31-08-2020","Tripura","11644","0","7433","103",11644
"36174","31-08-2020","Uttarakhand","19235","0","13066","257",19235
"37174","31-08-2020","Uttar Pradesh","225632","0","167543","3423",225632
"38174","31-08-2020","West Bengal","159785","0","130952","3176",159785
"3926","01-09-2020","Andhra Pradesh","434771","0","330526","3969",434771
"4175","01-09-2020","Andaman and Nicobar Islands","3132","0","2647","46",3132
"5175","01-09-2020","Arunachal Pradesh","4112","0","2885","7",4112
"6175","01-09-2020","Assam","109040","0","85461","306",109040
"7175","01-09-2020","Bihar","136457","0","119540","582",136457
"8175","01-09-2020","Chandigarh","4346","0","2431","56",4346
"9175","01-09-2020","Chhattisgarh","31503","0","16989","277",31503
"10175","01-09-2020","Dadra and Nagar Haveli","2367","0","2081","2",2367
"11175","01-09-2020","Delhi","174748","0","155678","4444",174748
"12175","01-09-2020","Goa","17418","0","13577","192",17418
"13175","01-09-2020","Gujarat","96300","0","77756","3020",96300
"14175","01-09-2020","Haryana","64732","0","52672","689",64732
"15175","01-09-2020","Himachal Pradesh","6116","0","4515","38",6116
"16175","01-09-2020","Jammu and Kashmir","37698","0","29015","703",37698
"17175","01-09-2020","Jharkhand","41656","0","27143","417",41656
"18175","01-09-2020","Karnataka","342423","0","249467","5702",342423
"19175","01-09-2020","Kerala","75385","0","51538","294",75385
"20175","01-09-2020","Lakshadweep","0","0","0","0",0
"21175","01-09-2020","Ladakh","2681","0","1874","34",2681
"22175","01-09-2020","Madhya Pradesh","63965","0","48657","1394",63965
"23175","01-09-2020","Maharashtra","792541","0","573559","24583",792541
"24175","01-09-2020","Manipur","6252","0","4330","28",6252
"25175","01-09-2020","Meghalaya","2368","0","1162","10",2368
"26175","01-09-2020","Mizoram","1011","0","591","0",1011
"27175","01-09-2020","Nagaland","3950","0","3067","9",3950
"28175","01-09-2020","Odisha","103536","0","77286","492",103536
"29175","01-09-2020","Puducherry","14411","0","9334","228",14411
"30175","01-09-2020","Punjab","53992","0","37027","1453",53992
"31210","01-09-2020","Rajasthan","81693","0","66812","1056",81693
"32188","01-09-2020","Sikkim","1652","0","1225","3",1652
"33176","01-09-2020","Tamil Nadu","428041","0","368141","7322",428041
"34175","01-09-2020","Telengana","127697","0","95162","836",127697
"35175","01-09-2020","Tripura","12153","0","7674","113",12153
"36175","01-09-2020","Uttarakhand","19827","0","13650","269",19827
"37175","01-09-2020","Uttar Pradesh","230414","0","172140","3486",230414
"38175","01-09-2020","West Bengal","162778","0","134270","3228",162778
"3927","02-09-2020","Andhra Pradesh","445139","0","339876","4053",445139
"4176","02-09-2020","Andaman and Nicobar Islands","3160","0","2714","46",3160
"5176","02-09-2020","Arunachal Pradesh","4212","0","2979","7",4212
"6176","02-09-2020","Assam","111724","0","86895","315",111724
"7176","02-09-2020","Bihar","138349","0","121560","621",138349
"8176","02-09-2020","Chandigarh","4550","0","2551","57",4550
"9176","02-09-2020","Chhattisgarh","33387","0","17567","287",33387
"10176","02-09-2020","Dadra and Nagar Haveli","2386","0","2122","2",2386
"11176","02-09-2020","Delhi","177060","0","156728","4462",177060
"12176","02-09-2020","Goa","18006","0","13850","194",18006
"13176","02-09-2020","Gujarat","97629","0","78887","3034",97629
"14176","02-09-2020","Haryana","66426","0","53835","706",66426
"15176","02-09-2020","Himachal Pradesh","6255","0","4688","40",6255
"16176","02-09-2020","Jammu and Kashmir","38223","0","29484","717",38223
"17176","02-09-2020","Jharkhand","43833","0","28149","428",43833
"18176","02-09-2020","Karnataka","351481","0","254626","5837",351481
"19176","02-09-2020","Kerala","76525","0","53649","298",76525
"20176","02-09-2020","Lakshadweep","0","0","0","0",0
"21176","02-09-2020","Ladakh","2733","0","1978","35",2733
"22176","02-09-2020","Madhya Pradesh","65490","0","49992","1426",65490
"23176","02-09-2020","Maharashtra","808306","0","584537","24903",808306
"24176","02-09-2020","Manipur","6382","0","4450","29",6382
"25176","02-09-2020","Meghalaya","2440","0","1235","12",2440
"26176","02-09-2020","Mizoram","1020","0","612","0",1020
"27176","02-09-2020","Nagaland","4003","0","3201","9",4003
"28176","02-09-2020","Odisha","106561","0","80770","503",106561
"29176","02-09-2020","Puducherry","14766","0","9675","240",14766
"30176","02-09-2020","Punjab","55508","0","38147","1512",55508
"31211","02-09-2020","Rajasthan","83163","0","68124","1069",83163
"32189","02-09-2020","Sikkim","1670","0","1237","4",1670
"33177","02-09-2020","Tamil Nadu","433969","0","374172","7418",433969
"34176","02-09-2020","Telengana","130589","0","97402","846",130589
"35176","02-09-2020","Tripura","12702","0","7847","118",12702
"36176","02-09-2020","Uttarakhand","20398","0","14076","280",20398
"37176","02-09-2020","Uttar Pradesh","235757","0","176677","3542",235757
"38176","02-09-2020","West Bengal","165721","0","137616","3283",165721
"3928","03-09-2020","Andhra Pradesh","455531","0","348330","4125",455531
"4177","03-09-2020","Andaman and Nicobar Islands","3186","0","2758","47",3186
"5177","03-09-2020","Arunachal Pradesh","4360","0","3075","7",4360
"6177","03-09-2020","Assam","115279","0","88729","323",115279
"7177","03-09-2020","Bihar","141441","0","123794","646",141441
"8177","03-09-2020","Chandigarh","4789","0","2670","59",4789
"9177","03-09-2020","Chhattisgarh","35683","0","18220","299",35683
"10177","03-09-2020","Dadra and Nagar Haveli","2435","0","2141","2",2435
"11177","03-09-2020","Delhi","179569","0","158586","4481",179569
"12177","03-09-2020","Goa","18642","0","14059","204",18642
"13177","03-09-2020","Gujarat","98888","0","79929","3046",98888
"14177","03-09-2020","Haryana","68218","0","54875","721",68218
"15177","03-09-2020","Himachal Pradesh","6416","0","4760","43",6416
"16177","03-09-2020","Jammu and Kashmir","38864","0","30079","732",38864
"17177","03-09-2020","Jharkhand","44862","0","29747","438",44862
"18177","03-09-2020","Karnataka","361341","0","260913","5950",361341
"19177","03-09-2020","Kerala","78072","0","55778","305",78072
"20177","03-09-2020","Lakshadweep","0","0","0","0",0
"21177","03-09-2020","Ladakh","2785","0","2007","35",2785
"22177","03-09-2020","Madhya Pradesh","66914","0","51124","1453",66914
"23177","03-09-2020","Maharashtra","825739","0","598496","25195",825739
"24177","03-09-2020","Manipur","6507","0","4607","29",6507
"25177","03-09-2020","Meghalaya","2517","0","1318","13",2517
"26177","03-09-2020","Mizoram","1020","0","661","0",1020
"27177","03-09-2020","Nagaland","4017","0","3223","9",4017
"28177","03-09-2020","Odisha","109780","0","84073","514",109780
"29177","03-09-2020","Puducherry","15157","0","9968","253",15157
"30177","03-09-2020","Punjab","56989","0","39742","1618",56989
"31212","03-09-2020","Rajasthan","84674","0","70674","1081",84674
"32190","03-09-2020","Sikkim","1704","0","1269","4",1704
"33178","03-09-2020","Tamil Nadu","439959","0","380063","7516",439959
"34177","03-09-2020","Telengana","133406","0","100013","856",133406
"35177","03-09-2020","Tripura","13292","0","8033","126",13292
"36177","03-09-2020","Uttarakhand","21234","0","14501","291",21234
"37177","03-09-2020","Uttar Pradesh","241439","0","181364","3616",241439
"38177","03-09-2020","West Bengal","168697","0","140913","3339",168697
"3929","04-09-2020","Andhra Pradesh","465730","0","358009","4200",465730
"4178","04-09-2020","Andaman and Nicobar Islands","3223","0","2823","48",3223
"5178","04-09-2020","Arunachal Pradesh","4574","0","3167","7",4574
"6178","04-09-2020","Assam","118333","0","90700","330",118333
"7178","04-09-2020","Bihar","142967","0","124976","672",142967
"8178","04-09-2020","Chandigarh","5065","0","2883","63",5065
"9178","04-09-2020","Chhattisgarh","37967","0","18950","315",37967
"10178","04-09-2020","Dadra and Nagar Haveli","2450","0","2154","2",2450
"11178","04-09-2020","Delhi","182306","0","160114","4500",182306
"12178","04-09-2020","Goa","19355","0","14361","212",19355
"13178","04-09-2020","Gujarat","100213","0","81055","3062",100213
"14178","04-09-2020","Haryana","70099","0","55889","740",70099
"15178","04-09-2020","Himachal Pradesh","6615","0","4859","48",6615
